idx,smiles,count
bide-uc-1195,C#CCCC(=O)O,2082
bide-uc-460,CC(C)(C)NCC(=O)O,769
bide-uc-1723,CN[C@H](C)C(=O)O,493
bide-uc-13,CC(C)(C)C(=O)O,487
bide-uc-1281,CC(C)(F)C(=O)O,469
bide-uc-2331,C=C(F)C(=O)O,343
bide-uc-2093,O=C(O)c1c(F)c(F)c(O)c(F)c1F,327
bide-uc-1143,CC(F)(F)C(=O)O,264
bide-uc-679,O=C(O)c1c(F)cc(F)cc1F,166
bide-uc-1453,O=C(O)c1c(F)ccc(F)c1F,162
bide-uc-210,CNC(C)C(=O)O,27
bide-uc-1531,O=C(O)c1cc(F)c(Br)cc1F,26
bide-uc-273,O=C(O)c1ccc(F)cc1F,26
bide-uc-3842,C[C@H](C(=O)O)N(C)C,24
bide-uc-843,Cc1ccc(F)cc1C(=O)O,24
bide-uc-3625,CN(C)C(C)(C)C(=O)O,23
bide-uc-3257,COc1ccc(F)c(F)c1C(=O)O,23
bide-uc-2736,O=C(O)c1c(F)cc(F)cc1Cl,23
bide-uc-2274,CC(F)C(=O)O,23
bide-uc-1548,COc1c(C(=O)O)ccc(F)c1F,22
bide-uc-1552,O=C(O)c1c(F)ccc(Cl)c1F,22
bide-uc-504,O=C(O)C(Cl)Br,22
bide-uc-2782,O=C(O)[C@H]1C[C@H]1F,22
bide-uc-1330,O=C(O)C1CC(F)(F)C1,22
bide-uc-2971,COc1cc(F)c(F)cc1C(=O)O,22
bide-uc-3550,Cc1cc(F)cc(C)c1C(=O)O,20
bide-uc-98,C=C(C)C(=O)[O-],20
bide-uc-2388,O=C(O)c1cc(Br)c(F)cc1F,20
bide-uc-2431,O=C(O)C(O)C(F)(F)F,19
bide-uc-4133,O=C(O)C1CC1F,19
bide-uc-3655,COc1ccc(C(=O)O)c(F)c1F,19
bide-uc-402,O=C(O)c1cc(Cl)ccc1F,18
bide-uc-522,O=C(O)c1c(F)cc(Br)cc1F,18
bide-uc-1688,COc1c(F)cc(C(=O)O)cc1F,18
bide-uc-422,O=C(O)C(F)(F)Br,17
bide-uc-966,C=C(C(=O)O)C(F)(F)F,17
bide-uc-5137,C[C@@H](C(=O)O)N(C)C,17
bide-uc-3018,O=C(O)c1cc(F)cc(F)c1F,17
bide-uc-854,O=C(O)c1cccc(Cl)c1F,16
bide-uc-108,O=C(O)c1ccccc1F,16
bide-uc-1321,O=C(O)c1cc(Br)c(F)c(F)c1F,16
bide-uc-1387,CN(C)C(=O)C(=O)O,15
bide-uc-1601,O=C(O)CCC(F)(F)F,15
bide-uc-3678,Cc1cc(F)cc(Br)c1C(=O)O,15
bide-uc-420,O=C(O)c1cc(F)c(F)c(F)c1,15
bide-uc-2470,O=C(O)c1c(F)c(F)c(Br)c(F)c1F,15
bide-uc-4671,CC(C)C(C)C(=O)O,14
bide-uc-4436,COc1cc(Br)cc(F)c1C(=O)O,14
bide-uc-891,Cc1ccc(C(=O)O)cc1F,14
bide-uc-318,O=C(O)c1cc(F)ccc1F,14
bide-uc-3706,COc1cc(F)c(C(=O)O)c(F)c1,14
bide-uc-1320,CC(C)C(=O)[O-],13
bide-uc-1054,O=C(O)c1cccc(F)c1Br,13
bide-uc-2060,O=C(O)c1c(F)cc(Cl)cc1F,13
bide-uc-810,O=C(O)c1cc(Br)ccc1F,13
bide-uc-2860,O=C(O)c1ccc(Br)c(F)c1F,13
bide-uc-1741,C[C@H](Br)C(=O)O,13
bide-uc-52,CC(C)(Br)C(=O)O,13
bide-uc-1046,O=C(O)c1cccc(F)c1F,13
bide-uc-3896,[2H]c1c([2H])c([2H])c(C(=O)O)c([2H])c1[2H],13
bide-uc-4809,CC(=O)N(C)CC(=O)O,12
bide-uc-943,O=C(O)c1ccc(Cl)c(F)c1,12
bide-uc-3761,O=C(O)c1c(F)ccc(F)c1Br,12
bide-uc-5391,CC1(C(=O)O)CC1(F)F,12
bide-uc-861,O=C(O)c1cc(Cl)c(F)cc1F,12
bide-uc-123,CC(C)=CC(=O)O,12
bide-uc-2341,O=C(O)c1c(F)ccc(O)c1F,11
bide-uc-5113,O=C(O)[C@H]1C[C@@H]1F,11
bide-uc-324,O=C(O)c1cccc(Br)c1,11
bide-uc-1457,Cc1ccc(F)c(C(=O)O)c1,11
bide-uc-835,Cc1c(F)cccc1C(=O)O,11
