idx,smiles,count
bide-uc-1659,C#Cc1ccc(C=O)cc1,1828
bide-uc-657,O=CC(F)(F)F,1436
bide-uc-160,CCC(C)C=O,1165
bide-uc-4428,Cc1cc(F)cc(C)c1C=O,721
bide-uc-3488,Cc1cccc(O)c1C=O,412
bide-uc-3590,COc1cc(C)c(C=O)c(C)c1,68
bide-uc-994,Cc1cccc(C)c1C=O,67
bide-uc-4351,COc1cccc(C)c1C=O,64
bide-uc-423,Cc1cc(C)c(C=O)c(C)c1,61
bide-uc-758,Cc1cc(F)ccc1C=O,60
bide-uc-958,Cc1c(F)cccc1C=O,57
bide-uc-168,Cc1ccccc1C=O,56
bide-uc-2179,Cc1cccc(F)c1C=O,56
bide-uc-3532,COc1cc(C)cc(C)c1C=O,51
bide-uc-955,COc1ccc(C=O)c(C)c1,49
bide-uc-4442,Cc1c(C=O)ccc(F)c1F,47
bide-uc-968,Cc1ccc(F)cc1C=O,45
bide-uc-2075,O=Cc1c(F)cc(O)cc1F,41
bide-uc-4336,O=Cc1c(O)cc(F)cc1F,38
bide-uc-1944,Cc1ccc(C=O)c(F)c1,33
bide-uc-1048,Cc1ccc(C=O)c(C)c1,33
bide-uc-1396,COc1cccc(F)c1C=O,32
bide-uc-678,Cc1ccc(F)c(C=O)c1,31
bide-uc-833,Cc1cc(O)cc(C)c1C=O,31
bide-uc-1977,Cc1cc(O)ccc1C=O,29
bide-uc-1680,Cc1cccc(C=O)c1F,27
bide-uc-4171,O=CCc1ccc(F)cc1,26
bide-uc-2989,Cc1c(F)ccc(C=O)c1F,25
bide-uc-3390,Cc1c(O)cccc1C=O,25
bide-uc-931,O=Cc1c(F)cc(F)cc1F,24
bide-uc-413,O=Cc1ccc(Br)cc1F,24
bide-uc-3186,O=Cc1cc(F)c(F)cc1O,23
bide-uc-377,CC1(C)OC[C@H](C=O)O1,21
bide-uc-1935,COc1cc(C)c(C=O)c(C)c1C,21
bide-uc-483,CC(C)(C)C=O,21
bide-uc-2961,Cc1ccc(Cl)cc1C=O,21
bide-uc-1690,Cc1cc(F)cc(C=O)c1,20
bide-uc-1273,COc1ccc(C=O)c(Cl)c1,20
bide-uc-342,O=Cc1ccc(F)cc1F,20
bide-uc-2780,COc1ccc(C)c(C=O)c1,20
bide-uc-2653,Cc1cc(Br)cc(C)c1C=O,19
bide-uc-1089,O=Cc1cc(F)ccc1F,18
bide-uc-2510,COc1cc(F)c(F)cc1C=O,18
bide-uc-1615,O=Cc1cc(F)cc(Br)c1,16
bide-uc-705,Cc1cc(C=O)ccc1F,16
bide-uc-3948,O=Cc1cc(F)c(O)cc1F,16
bide-uc-3435,Cc1c(Cl)cccc1C=O,16
bide-uc-127,COc1ccccc1C=O,16
bide-uc-4951,O=Cc1ccc(F)c(F)c1Cl,16
bide-uc-4352,O=Cc1cc(F)c(Br)c(F)c1,15
bide-uc-4902,Cc1ccc(O)cc1C=O,15
