idx,smiles,count
bide-uc-742,C#CCN,2895
bide-uc-387,CC(C)(N)C#N,2533
bide-uc-2022,[2H]C([2H])([2H])N,628
bide-uc-232,CC(C)N,16
bide-uc-37,N#CCN,14
bide-uc-5341,N#CC(N)c1c(F)cccc1F,14
bide-uc-4070,CNC(=O)C(C)N,13
bide-uc-1828,CN(C)C(=O)CN,12
bide-uc-247,Cc1cc(N)ccc1F,11
bide-uc-1930,CC(C)C(C)N,11
bide-uc-1825,CNC(=O)CN,10
bide-uc-5014,N#CC1CCC(N)CC1,10
bide-uc-1474,N#CC1(N)CC1,10
bide-uc-2920,COc1cc(F)c(N)c(F)c1,10
bide-uc-3414,C[C@H](N)C(C)(C)C,10
bide-uc-1252,Nc1cc(F)c(F)c(F)c1F,10
bide-uc-1327,Nc1c(F)cc(F)cc1F,10
bide-uc-1308,NCCF,10
bide-uc-399,Nc1cc(F)c(F)cc1F,9
bide-uc-3941,Nc1ccc(O)c(F)c1F,9
bide-uc-1014,Cc1cc(N)cc(F)c1,9
bide-uc-4200,CN1CCC(N)C1,8
bide-uc-2819,CC(N)C(C)(C)C,8
bide-uc-22,CCN,8
bide-uc-533,NCC(F)(F)F,8
bide-uc-363,Cc1ccc(N)cc1F,8
bide-uc-3169,CC(C)(N)c1cc(F)cc(F)c1,8
bide-uc-941,Nc1cc(F)c(F)c(F)c1,8
bide-uc-1877,CC(N)C(F)(F)F,8
bide-uc-2677,N#CC1(N)CCOCC1,8
bide-uc-198,Nc1ccc(F)c(F)c1,8
bide-uc-3606,C[C@H](N)c1ccc(F)cc1F,8
bide-uc-1255,Nc1ccc(F)cc1,8
bide-uc-4206,C[C@@H](N)C(C)(C)C,8
bide-uc-4425,N#CC1(N)CCCC1,8
bide-uc-440,Nc1cc(F)cc(F)c1,8
bide-uc-4182,C[C@@H](N)c1ccc(F)cc1F,8
bide-uc-4702,C[C@@H](N)c1ccccc1F,8
bide-uc-4536,Cc1cccc([C@@H](C)N)c1,8
bide-uc-2526,COc1cccc(F)c1N,8
bide-uc-4170,CC1(C)OC[C@H](CN)O1,8
bide-uc-3047,CC(N)c1ccccc1F,8
bide-uc-913,N#CCCN,8
bide-uc-2701,COc1c(N)cc(F)cc1F,8
bide-uc-5320,Cc1ccccc1[C@H](C)N,8
bide-uc-5176,N#CC1(CN)CC1,8
bide-uc-2565,COc1cc(C)ccc1N,8
bide-uc-3518,C[C@H](N)c1cccc(F)c1,8
bide-uc-4624,CC(C)(N)c1cccc(F)c1,8
bide-uc-2130,NCCN1CCNC1=O,8
bide-uc-1806,CC(N)c1ccc(F)cc1,8
bide-uc-1403,N#CC(N)c1ccccc1,8
bide-uc-5103,COc1c(N)cc(C)cc1F,8
bide-uc-4803,Cc1c(F)cc(N)cc1F,8
bide-uc-1199,CC(C)(C)N,8
bide-uc-1448,Nc1c(F)ccc(F)c1F,8
bide-uc-3074,C[C@@H](N)C(F)(F)F,8
bide-uc-3818,Nc1cc(F)c(O)c(F)c1,8
bide-uc-82,NC1CC1,8
bide-uc-2829,NCc1cc(Br)ccc1F,7
bide-uc-3124,Nc1c(F)cc(F)c(F)c1F,7
bide-uc-3711,Cc1cc(N)cc(F)c1Br,7
bide-uc-38,Nc1ccc(F)c(Cl)c1,7
bide-uc-990,Nc1cc(F)cc(Cl)c1,7
bide-uc-2456,CC(N)c1ccc(F)c(F)c1,7
bide-uc-2030,COc1ccc(F)c(N)c1,7
bide-uc-2679,CC(N)c1c(F)cccc1F,7
bide-uc-24,NCCBr,7
bide-uc-218,Cc1cc(F)ccc1N,7
bide-uc-90,Nc1cccc(Cl)c1F,7
bide-uc-1655,Nc1ccc(C(F)(F)F)c(F)c1,7
bide-uc-212,Nc1ccc(F)cc1F,7
bide-uc-4634,Cc1c(F)ccc(N)c1F,7
bide-uc-967,Nc1cc(F)c(F)cc1Br,7
bide-uc-1045,Nc1cccc(F)c1Cl,7
bide-uc-603,Nc1cccc(F)c1F,7
bide-uc-4764,C[C@H](N)c1ccc(F)c(F)c1,7
bide-uc-1380,Nc1ccc(F)c(Cl)c1F,7
bide-uc-338,Nc1ccc(F)cc1Cl,7
bide-uc-914,Nc1c(F)c(F)c(F)c(F)c1F,7
bide-uc-851,NCc1cc(F)cc(F)c1,7
bide-uc-2082,CC1(N)CCOCC1,7
bide-uc-834,NCc1ccccc1Br,7
bide-uc-2662,COc1cc(F)ccc1CN,7
bide-uc-1158,NCc1ccc(F)cc1Cl,7
bide-uc-4378,Nc1cc(F)cc(F)c1O,7
bide-uc-3402,C[C@@H](N)c1ccc(Cl)cc1,7
bide-uc-919,Nc1c(F)cc(F)cc1Cl,7
bide-uc-5084,CCC(N)C(F)(F)F,7
bide-uc-1406,Nc1cc(F)cc(F)c1Cl,7
bide-uc-520,Nc1cc(F)c(Br)cc1F,6
bide-uc-3104,NCCCC(F)(F)F,6
bide-uc-1075,Nc1c(Br)cc(F)c(F)c1F,6
bide-uc-4109,NC[c-]1cccc1,6
bide-uc-4127,NC1(c2cccc(F)c2)CC1,6
bide-uc-1790,NC1CCCNC1,6
bide-uc-1757,Nc1cc(F)c(F)cc1Cl,6
bide-uc-4507,COc1cc(F)c(CN)c(F)c1,6
bide-uc-302,Nc1ccc(F)cc1Br,6
bide-uc-4076,C[C@@H](N)c1ccc(Cl)c(F)c1,6
bide-uc-282,NCc1ccc(F)cc1,6
bide-uc-3887,CC(C)N1CCC(N)C1,6
bide-uc-4224,CC(C)(N)C(F)(F)F,6
bide-uc-1229,NC1CCC1,6
bide-uc-3045,NCc1cccc(F)c1F,6
bide-uc-568,CCCN,6
bide-uc-527,Cc1cccc(N)c1,6
bide-uc-1647,Nc1cc(F)cc(F)c1F,5
bide-uc-4444,CC[C@H](C)N,5
bide-uc-853,NCc1cccc(F)c1,5
bide-uc-876,COc1cc(F)ccc1N,5
