id,rxn_smiles_with_solvent,solvent,precipitate,yield_virtual,yield
ac1_al2_nc1_am1,[#6-:16]#[#7+:18]-[#6:19](-[#6H3:20])(-[#6H3:21])-[#6H3:22].[#7H2]-[#6]1:[#7:8]:[#7H:9]:[#6:10](:[#6H:14]:1)-[#6H:11]1-[#6H2:12]-[#6H2:13]-1.[#6H:15](=[#8])-[#6:23]1:[#6H:24]:[#6H:25]:[#6:26](:[#6H:32]:[#6H:33]:1)-[#8:27]-[#6:28](-[#9:29])(-[#9:30])-[#9:31].[#6:4](=[#8:5])(-[#8H:17])-[#6:3]#[#6:2]-[#6H3:1]>>[#6H3:1]-[#6:2]#[#6:3]-[#6:4](=[#8:5])-[#7:6](-[#6:7]1:[#7:8]:[#7H:9]:[#6:10](-[#6H:11]2-[#6H2:12]-[#6H2:13]-2):[#6H:14]:1)-[#6H:15](-[#6:16](=[#8:17])-[#7H:18]-[#6:19](-[#6H3:20])(-[#6H3:21])-[#6H3:22])-[#6:23]1:[#6H:24]:[#6H:25]:[#6:26](-[#8:27]-[#6:28](-[#9:29])(-[#9:30])-[#9:31]):[#6H:32]:[#6H:33]:1,FC(F)(CO)F,0,0.0,1
ac1_al2_nc1_am2,[#6-:8]#[#7+:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14].[#7H2]-[#6@H]1-[#6H:27]=[#6H:28]-[#6@H:29](-[#6H2:32]-1)-[#6H2:30]-[#8H:31].[#6H:7](=[#8])-[#6:15]1:[#6H:16]:[#6H:17]:[#6:18](:[#6H:24]:[#6H:25]:1)-[#8:19]-[#6:20](-[#9:21])(-[#9:22])-[#9:23].[#6:4](=[#8:5])(-[#8H:9])-[#6:3]#[#6:2]-[#6H3:1]>>[#6H3:1]-[#6:2]#[#6:3]-[#6:4](=[#8:5])-[#7:6](-[#6H:7](-[#6:8](=[#8:9])-[#7H:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14])-[#6:15]1:[#6H:16]:[#6H:17]:[#6:18](-[#8:19]-[#6:20](-[#9:21])(-[#9:22])-[#9:23]):[#6H:24]:[#6H:25]:1)-[#6@H:26]1-[#6H:27]=[#6H:28]-[#6@@H:29](-[#6H2:30]-[#8H:31])-[#6H2:32]-1,FC(F)(CO)F,0,0.0,2
ac1_al2_nc1_am3,[#6-:21]#[#7+:23]-[#6:24](-[#6H3:25])(-[#6H3:26])-[#6H3:27].[#7H2]-[#6]1:[#6H:8]:[#6H:9]:[#6:10](:[#6H:18]:[#6H:19]:1)-[#6H2:11]-[#6:12]1:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:[#6H:17]:1.[#6H:20](=[#8])-[#6:28]1:[#6H:29]:[#6H:30]:[#6:31](:[#6H:37]:[#6H:38]:1)-[#8:32]-[#6:33](-[#9:34])(-[#9:35])-[#9:36].[#6:4](=[#8:5])(-[#8H:22])-[#6:3]#[#6:2]-[#6H3:1]>>[#6H3:1]-[#6:2]#[#6:3]-[#6:4](=[#8:5])-[#7:6](-[#6:7]1:[#6H:8]:[#6H:9]:[#6:10](-[#6H2:11]-[#6:12]2:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:[#6H:17]:2):[#6H:18]:[#6H:19]:1)-[#6H:20](-[#6:21](=[#8:22])-[#7H:23]-[#6:24](-[#6H3:25])(-[#6H3:26])-[#6H3:27])-[#6:28]1:[#6H:29]:[#6H:30]:[#6:31](-[#8:32]-[#6:33](-[#9:34])(-[#9:35])-[#9:36]):[#6H:37]:[#6H:38]:1,FC(F)(CO)F,1,0.0,2
ac5_al4_nc1_am4,[#6-:7]#[#7+:9]-[#6:10](-[#6H3:11])(-[#6H3:12])-[#6H3:13].[#7H3].[#6H:6](=[#8])-[#6H:14]1-[#6H2:15]-[#6H:16]2-[#6H2:20]-[#6H:19]-1-[#6H:18]=[#6H:17]-2.[#6:3](=[#8:4])(-[#8H:8])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7H:5]-[#6H:6](-[#6:7](=[#8:8])-[#7H:9]-[#6:10](-[#6H3:11])(-[#6H3:12])-[#6H3:13])-[#6H:14]1-[#6H2:15]-[#6H:16]2-[#6H:17]=[#6H:18]-[#6H:19]-1-[#6H2:20]-2,FC(F)(CO)F,1,0.0,2
ac5_al4_nc1_am5,[#6-:17]#[#7+:19]-[#6:20](-[#6H3:21])(-[#6H3:22])-[#6H3:23].[#7H2]-[#6H2]-[#6:7]1:[#6H:8]:[#6:9]2:[#6:10](:[#7H:15]:1):[#6H:11]:[#6H:12]:[#6H:13]:[#6H:14]:2.[#6H:16](=[#8])-[#6H:24]1-[#6H2:25]-[#6H:26]2-[#6H2:30]-[#6H:29]-1-[#6H:28]=[#6H:27]-2.[#6:3](=[#8:4])(-[#8H:18])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6H2:6]-[#6:7]1:[#6H:8]:[#6:9]2:[#6:10](:[#6H:11]:[#6H:12]:[#6H:13]:[#6H:14]:2):[#7H:15]:1)-[#6H:16](-[#6:17](=[#8:18])-[#7H:19]-[#6:20](-[#6H3:21])(-[#6H3:22])-[#6H3:23])-[#6H:24]1-[#6H2:25]-[#6H:26]2-[#6H:27]=[#6H:28]-[#6H:29]-1-[#6H2:30]-2,FC(F)(CO)F,1,0.0,2
ac5_al4_nc1_am6,[#6-:16]#[#7+:18]-[#6:19](-[#6H3:20])(-[#6H3:21])-[#6H3:22].[#7H2]-[#6H2]-[#6:7]1:[#6:8](-[#17:9]):[#6H:10]:[#6:11](:[#6H:13]:[#6H:14]:1)-[#9:12].[#6H:15](=[#8])-[#6H:23]1-[#6H2:24]-[#6H:25]2-[#6H2:29]-[#6H:28]-1-[#6H:27]=[#6H:26]-2.[#6:3](=[#8:4])(-[#8H:17])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6H2:6]-[#6:7]1:[#6:8](-[#17:9]):[#6H:10]:[#6:11](-[#9:12]):[#6H:13]:[#6H:14]:1)-[#6H:15](-[#6:16](=[#8:17])-[#7H:18]-[#6:19](-[#6H3:20])(-[#6H3:21])-[#6H3:22])-[#6H:23]1-[#6H2:24]-[#6H:25]2-[#6H:26]=[#6H:27]-[#6H:28]-1-[#6H2:29]-2,FC(F)(CO)F,1,0.0,2
ac1_al2_nc2_am1,[#6-:16]#[#7+:18]-[#6H2:19]-[#6:20]1:[#6H:21]:[#6H:22]:[#6H:23]:[#6H:24]:[#6H:25]:1.[#7H2]-[#6]1:[#7:8]:[#7H:9]:[#6:10](:[#6H:14]:1)-[#6H:11]1-[#6H2:12]-[#6H2:13]-1.[#6H:15](=[#8])-[#6:26]1:[#6H:27]:[#6H:28]:[#6:29](:[#6H:35]:[#6H:36]:1)-[#8:30]-[#6:31](-[#9:32])(-[#9:33])-[#9:34].[#6:4](=[#8:5])(-[#8H:17])-[#6:3]#[#6:2]-[#6H3:1]>>[#6H3:1]-[#6:2]#[#6:3]-[#6:4](=[#8:5])-[#7:6](-[#6:7]1:[#7:8]:[#7H:9]:[#6:10](-[#6H:11]2-[#6H2:12]-[#6H2:13]-2):[#6H:14]:1)-[#6H:15](-[#6:16](=[#8:17])-[#7H:18]-[#6H2:19]-[#6:20]1:[#6H:21]:[#6H:22]:[#6H:23]:[#6H:24]:[#6H:25]:1)-[#6:26]1:[#6H:27]:[#6H:28]:[#6:29](-[#8:30]-[#6:31](-[#9:32])(-[#9:33])-[#9:34]):[#6H:35]:[#6H:36]:1,FC(F)(CO)F,0,0.0,0
ac1_al2_nc2_am2,[#6-:8]#[#7+:10]-[#6H2:11]-[#6:12]1:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:[#6H:17]:1.[#7H2]-[#6@H]1-[#6H:30]=[#6H:31]-[#6@H:32](-[#6H2:35]-1)-[#6H2:33]-[#8H:34].[#6H:7](=[#8])-[#6:18]1:[#6H:19]:[#6H:20]:[#6:21](:[#6H:27]:[#6H:28]:1)-[#8:22]-[#6:23](-[#9:24])(-[#9:25])-[#9:26].[#6:4](=[#8:5])(-[#8H:9])-[#6:3]#[#6:2]-[#6H3:1]>>[#6H3:1]-[#6:2]#[#6:3]-[#6:4](=[#8:5])-[#7:6](-[#6H:7](-[#6:8](=[#8:9])-[#7H:10]-[#6H2:11]-[#6:12]1:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:[#6H:17]:1)-[#6:18]1:[#6H:19]:[#6H:20]:[#6:21](-[#8:22]-[#6:23](-[#9:24])(-[#9:25])-[#9:26]):[#6H:27]:[#6H:28]:1)-[#6@H:29]1-[#6H:30]=[#6H:31]-[#6@@H:32](-[#6H2:33]-[#8H:34])-[#6H2:35]-1,FC(F)(CO)F,0,0.0,0
ac1_al2_nc2_am3,[#6-:21]#[#7+:23]-[#6H2:24]-[#6:25]1:[#6H:26]:[#6H:27]:[#6H:28]:[#6H:29]:[#6H:30]:1.[#7H2]-[#6]1:[#6H:8]:[#6H:9]:[#6:10](:[#6H:18]:[#6H:19]:1)-[#6H2:11]-[#6:12]1:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:[#6H:17]:1.[#6H:20](=[#8])-[#6:31]1:[#6H:32]:[#6H:33]:[#6:34](:[#6H:40]:[#6H:41]:1)-[#8:35]-[#6:36](-[#9:37])(-[#9:38])-[#9:39].[#6:4](=[#8:5])(-[#8H:22])-[#6:3]#[#6:2]-[#6H3:1]>>[#6H3:1]-[#6:2]#[#6:3]-[#6:4](=[#8:5])-[#7:6](-[#6:7]1:[#6H:8]:[#6H:9]:[#6:10](-[#6H2:11]-[#6:12]2:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:[#6H:17]:2):[#6H:18]:[#6H:19]:1)-[#6H:20](-[#6:21](=[#8:22])-[#7H:23]-[#6H2:24]-[#6:25]1:[#6H:26]:[#6H:27]:[#6H:28]:[#6H:29]:[#6H:30]:1)-[#6:31]1:[#6H:32]:[#6H:33]:[#6:34](-[#8:35]-[#6:36](-[#9:37])(-[#9:38])-[#9:39]):[#6H:40]:[#6H:41]:1,FC(F)(CO)F,1,0.0,2
ac5_al4_nc2_am4,[#6-:7]#[#7+:9]-[#6H2:10]-[#6:11]1:[#6H:12]:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:1.[#7H3].[#6H:6](=[#8])-[#6H:17]1-[#6H2:18]-[#6H:19]2-[#6H2:23]-[#6H:22]-1-[#6H:21]=[#6H:20]-2.[#6:3](=[#8:4])(-[#8H:8])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7H:5]-[#6H:6](-[#6:7](=[#8:8])-[#7H:9]-[#6H2:10]-[#6:11]1:[#6H:12]:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:1)-[#6H:17]1-[#6H2:18]-[#6H:19]2-[#6H:20]=[#6H:21]-[#6H:22]-1-[#6H2:23]-2,FC(F)(CO)F,0,0.0,2
