mol_id,rxn_smiles_with_solvent,solvent,precipitate
A1,[#6-:22]#[#7+:24]-[#6:25](-[#6H3:26])(-[#6H3:27])-[#6H3:28].[#7H2]-[#6H2]-[#6H:7]1-[#6H2:8]-[#7:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6:14](:[#6H:16]:[#6H:17]:2)-[#9:15])-[#6H2:18]-[#6H2:19]-[#8:20]-1.[#6H:21](=[#8])-[#6:29]1:[#6H:30]:[#6H:31]:[#7:32](:[#7:34]:1)-[#6H3:33].[#6:3](=[#8:4])(-[#8H:23])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6H2:6]-[#6H:7]1-[#6H2:8]-[#7:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6:14](-[#9:15]):[#6H:16]:[#6H:17]:2)-[#6H2:18]-[#6H2:19]-[#8:20]-1)-[#6H:21](-[#6:22](=[#8:23])-[#7H:24]-[#6:25](-[#6H3:26])(-[#6H3:27])-[#6H3:28])-[#6:29]1:[#6H:30]:[#6H:31]:[#7:32](-[#6H3:33]):[#7:34]:1,FC(F)(CO)F,0
A2,[#6-:22]#[#7+:24]-[#6:25](-[#6H3:26])(-[#6H3:27])-[#6H3:28].[#7H2]-[#6H2]-[#6H:7]1-[#6H2:8]-[#7:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6:14](:[#6H:16]:[#6H:17]:2)-[#9:15])-[#6H2:18]-[#6H2:19]-[#8:20]-1.[#6H:21](=[#8])-[#6:29]1:[#6H:30]:[#6H:31]:[#6:32](:[#6H:40]:[#6H:41]:1)-[#8:33]-[#6H:34]1-[#6H2:35]-[#6H2:36]-[#6H2:37]-[#6H2:38]-[#8:39]-1.[#6:3](=[#8:4])(-[#8H:23])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6H2:6]-[#6H:7]1-[#6H2:8]-[#7:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6:14](-[#9:15]):[#6H:16]:[#6H:17]:2)-[#6H2:18]-[#6H2:19]-[#8:20]-1)-[#6H:21](-[#6:22](=[#8:23])-[#7H:24]-[#6:25](-[#6H3:26])(-[#6H3:27])-[#6H3:28])-[#6:29]1:[#6H:30]:[#6H:31]:[#6:32](-[#8:33]-[#6H:34]2-[#6H2:35]-[#6H2:36]-[#6H2:37]-[#6H2:38]-[#8:39]-2):[#6H:40]:[#6H:41]:1,FC(F)(CO)F,0
A3,[#6-:22]#[#7+:24]-[#6:25](-[#6H3:26])(-[#6H3:27])-[#6H3:28].[#7H2]-[#6H2]-[#6H:7]1-[#6H2:8]-[#7:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6:14](:[#6H:16]:[#6H:17]:2)-[#9:15])-[#6H2:18]-[#6H2:19]-[#8:20]-1.[#6H:21](=[#8])-[#6:29]1:[#6H:30]:[#6H:31]:[#6:32](:[#6H:37]:[#6H:38]:1)-[#6H2:33]-[#6H:34](-[#6H3:35])-[#6H3:36].[#6:3](=[#8:4])(-[#8H:23])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6H2:6]-[#6H:7]1-[#6H2:8]-[#7:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6:14](-[#9:15]):[#6H:16]:[#6H:17]:2)-[#6H2:18]-[#6H2:19]-[#8:20]-1)-[#6H:21](-[#6:22](=[#8:23])-[#7H:24]-[#6:25](-[#6H3:26])(-[#6H3:27])-[#6H3:28])-[#6:29]1:[#6H:30]:[#6H:31]:[#6:32](-[#6H2:33]-[#6H:34](-[#6H3:35])-[#6H3:36]):[#6H:37]:[#6H:38]:1,FC(F)(CO)F,0
A4,[#6-:22]#[#7+:24]-[#6:25](-[#6H3:26])(-[#6H3:27])-[#6H3:28].[#7H2]-[#6H2]-[#6H:7]1-[#6H2:8]-[#7:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6:14](:[#6H:16]:[#6H:17]:2)-[#9:15])-[#6H2:18]-[#6H2:19]-[#8:20]-1.[#6H:21](=[#8])-[#6:29]1:[#6H:30]:[#6H:31]:[#6:32](:[#6H:38]:[#6H:39]:1)-[#8:33]-[#6:34](-[#9:35])(-[#9:36])-[#9:37].[#6:3](=[#8:4])(-[#8H:23])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6H2:6]-[#6H:7]1-[#6H2:8]-[#7:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6:14](-[#9:15]):[#6H:16]:[#6H:17]:2)-[#6H2:18]-[#6H2:19]-[#8:20]-1)-[#6H:21](-[#6:22](=[#8:23])-[#7H:24]-[#6:25](-[#6H3:26])(-[#6H3:27])-[#6H3:28])-[#6:29]1:[#6H:30]:[#6H:31]:[#6:32](-[#8:33]-[#6:34](-[#9:35])(-[#9:36])-[#9:37]):[#6H:38]:[#6H:39]:1,FC(F)(CO)F,0
A5,[#6-:22]#[#7+:24]-[#6:25](-[#6H3:26])(-[#6H3:27])-[#6H3:28].[#7H2]-[#6H2]-[#6H:7]1-[#6H2:8]-[#7:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6:14](:[#6H:16]:[#6H:17]:2)-[#9:15])-[#6H2:18]-[#6H2:19]-[#8:20]-1.[#6H:21](=[#8])-[#6H:29]1-[#6H2:30]-[#6H2:31]-[#6:32](=[#6H:34]-[#6H:35]-1-[#6H3:36])-[#6H3:33].[#6:3](=[#8:4])(-[#8H:23])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6H2:6]-[#6H:7]1-[#6H2:8]-[#7:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6:14](-[#9:15]):[#6H:16]:[#6H:17]:2)-[#6H2:18]-[#6H2:19]-[#8:20]-1)-[#6H:21](-[#6:22](=[#8:23])-[#7H:24]-[#6:25](-[#6H3:26])(-[#6H3:27])-[#6H3:28])-[#6H:29]1-[#6H2:30]-[#6H2:31]-[#6:32](-[#6H3:33])=[#6H:34]-[#6H:35]-1-[#6H3:36],FC(F)(CO)F,0
A6,[#6-:22]#[#7+:24]-[#6:25](-[#6H3:26])(-[#6H3:27])-[#6H3:28].[#7H2]-[#6H2]-[#6H:7]1-[#6H2:8]-[#7:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6:14](:[#6H:16]:[#6H:17]:2)-[#9:15])-[#6H2:18]-[#6H2:19]-[#8:20]-1.[#6H:21](=[#8])-[#6H:29]1-[#6H2:30]-[#6H:31]2-[#6H2:35]-[#6H:34]-1-[#6H:33]=[#6H:32]-2.[#6:3](=[#8:4])(-[#8H:23])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6H2:6]-[#6H:7]1-[#6H2:8]-[#7:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6:14](-[#9:15]):[#6H:16]:[#6H:17]:2)-[#6H2:18]-[#6H2:19]-[#8:20]-1)-[#6H:21](-[#6:22](=[#8:23])-[#7H:24]-[#6:25](-[#6H3:26])(-[#6H3:27])-[#6H3:28])-[#6H:29]1-[#6H2:30]-[#6H:31]2-[#6H:32]=[#6H:33]-[#6H:34]-1-[#6H2:35]-2,FC(F)(CO)F,0
B1,[#6-:20]#[#7+:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26].[#7H2]-[#6]1:[#6H:7]:[#6H:8]:[#6H:9]:[#6H:10]:[#6:11]:1-[#7:12]1-[#6H2:13]-[#6H2:14]-[#7:15](-[#6H2:17]-[#6H2:18]-1)-[#6H3:16].[#6H:19](=[#8])-[#6:27]1:[#6H:28]:[#6H:29]:[#7:30](:[#7:32]:1)-[#6H3:31].[#6:3](=[#8:4])(-[#8H:21])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6:6]1:[#6H:7]:[#6H:8]:[#6H:9]:[#6H:10]:[#6:11]:1-[#7:12]1-[#6H2:13]-[#6H2:14]-[#7:15](-[#6H3:16])-[#6H2:17]-[#6H2:18]-1)-[#6H:19](-[#6:20](=[#8:21])-[#7H:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26])-[#6:27]1:[#6H:28]:[#6H:29]:[#7:30](-[#6H3:31]):[#7:32]:1,FC(F)(CO)F,0
B2,[#6-:20]#[#7+:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26].[#7H2]-[#6]1:[#6H:7]:[#6H:8]:[#6H:9]:[#6H:10]:[#6:11]:1-[#7:12]1-[#6H2:13]-[#6H2:14]-[#7:15](-[#6H2:17]-[#6H2:18]-1)-[#6H3:16].[#6H:19](=[#8])-[#6:27]1:[#6H:28]:[#6H:29]:[#6:30](:[#6H:38]:[#6H:39]:1)-[#8:31]-[#6H:32]1-[#6H2:33]-[#6H2:34]-[#6H2:35]-[#6H2:36]-[#8:37]-1.[#6:3](=[#8:4])(-[#8H:21])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6:6]1:[#6H:7]:[#6H:8]:[#6H:9]:[#6H:10]:[#6:11]:1-[#7:12]1-[#6H2:13]-[#6H2:14]-[#7:15](-[#6H3:16])-[#6H2:17]-[#6H2:18]-1)-[#6H:19](-[#6:20](=[#8:21])-[#7H:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26])-[#6:27]1:[#6H:28]:[#6H:29]:[#6:30](-[#8:31]-[#6H:32]2-[#6H2:33]-[#6H2:34]-[#6H2:35]-[#6H2:36]-[#8:37]-2):[#6H:38]:[#6H:39]:1,FC(F)(CO)F,0
B3,[#6-:20]#[#7+:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26].[#7H2]-[#6]1:[#6H:7]:[#6H:8]:[#6H:9]:[#6H:10]:[#6:11]:1-[#7:12]1-[#6H2:13]-[#6H2:14]-[#7:15](-[#6H2:17]-[#6H2:18]-1)-[#6H3:16].[#6H:19](=[#8])-[#6:27]1:[#6H:28]:[#6H:29]:[#6:30](:[#6H:35]:[#6H:36]:1)-[#6H2:31]-[#6H:32](-[#6H3:33])-[#6H3:34].[#6:3](=[#8:4])(-[#8H:21])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6:6]1:[#6H:7]:[#6H:8]:[#6H:9]:[#6H:10]:[#6:11]:1-[#7:12]1-[#6H2:13]-[#6H2:14]-[#7:15](-[#6H3:16])-[#6H2:17]-[#6H2:18]-1)-[#6H:19](-[#6:20](=[#8:21])-[#7H:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26])-[#6:27]1:[#6H:28]:[#6H:29]:[#6:30](-[#6H2:31]-[#6H:32](-[#6H3:33])-[#6H3:34]):[#6H:35]:[#6H:36]:1,FC(F)(CO)F,0
B4,[#6-:20]#[#7+:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26].[#7H2]-[#6]1:[#6H:7]:[#6H:8]:[#6H:9]:[#6H:10]:[#6:11]:1-[#7:12]1-[#6H2:13]-[#6H2:14]-[#7:15](-[#6H2:17]-[#6H2:18]-1)-[#6H3:16].[#6H:19](=[#8])-[#6:27]1:[#6H:28]:[#6H:29]:[#6:30](:[#6H:36]:[#6H:37]:1)-[#8:31]-[#6:32](-[#9:33])(-[#9:34])-[#9:35].[#6:3](=[#8:4])(-[#8H:21])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6:6]1:[#6H:7]:[#6H:8]:[#6H:9]:[#6H:10]:[#6:11]:1-[#7:12]1-[#6H2:13]-[#6H2:14]-[#7:15](-[#6H3:16])-[#6H2:17]-[#6H2:18]-1)-[#6H:19](-[#6:20](=[#8:21])-[#7H:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26])-[#6:27]1:[#6H:28]:[#6H:29]:[#6:30](-[#8:31]-[#6:32](-[#9:33])(-[#9:34])-[#9:35]):[#6H:36]:[#6H:37]:1,FC(F)(CO)F,0
