exp_id,rxn_smiles_with_solvent,solvent,precipitate
ac-8-ace_al-6_nc-1_am-8,[#6-:13]#[#7+:15]-[#6:16](-[#6H3:17])(-[#6H3:18])-[#6H3:19].[#7H2]-[#6H](-[#6H3:10])-[#6H3:11].[#6H:12](=[#8])-[#6:20](-[#9:21])(-[#9:22])-[#9:23].[#6:6](=[#8:7])(-[#8H:14])-[#6:5]1:[#6H:4]:[#6:3](-[#6:2]#[#6H:1]):[#6H:26]:[#6H:25]:[#6H:24]:1>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6:5](-[#6:6](=[#8:7])-[#7:8](-[#6H:9](-[#6H3:10])-[#6H3:11])-[#6H:12](-[#6:13](=[#8:14])-[#7H:15]-[#6:16](-[#6H3:17])(-[#6H3:18])-[#6H3:19])-[#6:20](-[#9:21])(-[#9:22])-[#9:23]):[#6H:24]:[#6H:25]:[#6H:26]:1,FC(F)(CO)F,0
ac-8-ace_al-15_nc-1_am-8,[#6-:13]#[#7+:15]-[#6:16](-[#6H3:17])(-[#6H3:18])-[#6H3:19].[#7H2]-[#6H](-[#6H3:10])-[#6H3:11].[#6H:12](=[#8])-[#6:20]1:[#6H:21]:[#6H:22]:[#6H:23]:[#6H:24]:[#6:25]:1-[#8:26]-[#6:27](-[#9:28])(-[#9:29])-[#9:30].[#6:6](=[#8:7])(-[#8H:14])-[#6:5]1:[#6H:4]:[#6:3](-[#6:2]#[#6H:1]):[#6H:33]:[#6H:32]:[#6H:31]:1>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6:5](-[#6:6](=[#8:7])-[#7:8](-[#6H:9](-[#6H3:10])-[#6H3:11])-[#6H:12](-[#6:13](=[#8:14])-[#7H:15]-[#6:16](-[#6H3:17])(-[#6H3:18])-[#6H3:19])-[#6:20]2:[#6H:21]:[#6H:22]:[#6H:23]:[#6H:24]:[#6:25]:2-[#8:26]-[#6:27](-[#9:28])(-[#9:29])-[#9:30]):[#6H:31]:[#6H:32]:[#6H:33]:1,FC(F)(CO)F,1
ac-8-ace_al-16_nc-1_am-8,[#6-:13]#[#7+:15]-[#6:16](-[#6H3:17])(-[#6H3:18])-[#6H3:19].[#7H2]-[#6H](-[#6H3:10])-[#6H3:11].[#6H:12](=[#8])-[#6:20]1:[#6H:21]:[#6H:22]:[#6:23](:[#6H:26]:[#6H:27]:1)-[#6H2:24]-[#6H3:25].[#6:6](=[#8:7])(-[#8H:14])-[#6:5]1:[#6H:4]:[#6:3](-[#6:2]#[#6H:1]):[#6H:30]:[#6H:29]:[#6H:28]:1>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6:5](-[#6:6](=[#8:7])-[#7:8](-[#6H:9](-[#6H3:10])-[#6H3:11])-[#6H:12](-[#6:13](=[#8:14])-[#7H:15]-[#6:16](-[#6H3:17])(-[#6H3:18])-[#6H3:19])-[#6:20]2:[#6H:21]:[#6H:22]:[#6:23](-[#6H2:24]-[#6H3:25]):[#6H:26]:[#6H:27]:2):[#6H:28]:[#6H:29]:[#6H:30]:1,FC(F)(CO)F,1
ac-8-ace_al-17_nc-1_am-8,[#6-:13]#[#7+:15]-[#6:16](-[#6H3:17])(-[#6H3:18])-[#6H3:19].[#7H2]-[#6H](-[#6H3:10])-[#6H3:11].[#6H:12](=[#8])-[#6H:20](-[#6H3:21])-[#6H2:22]-[#6H3:23].[#6:6](=[#8:7])(-[#8H:14])-[#6:5]1:[#6H:4]:[#6:3](-[#6:2]#[#6H:1]):[#6H:26]:[#6H:25]:[#6H:24]:1>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6:5](-[#6:6](=[#8:7])-[#7:8](-[#6H:9](-[#6H3:10])-[#6H3:11])-[#6H:12](-[#6:13](=[#8:14])-[#7H:15]-[#6:16](-[#6H3:17])(-[#6H3:18])-[#6H3:19])-[#6H:20](-[#6H3:21])-[#6H2:22]-[#6H3:23]):[#6H:24]:[#6H:25]:[#6H:26]:1,FC(F)(CO)F,1
ac-8-ace_al-18_nc-1_am-8,[#6-:13]#[#7+:15]-[#6:16](-[#6H3:17])(-[#6H3:18])-[#6H3:19].[#7H2]-[#6H](-[#6H3:10])-[#6H3:11].[#6H:12](=[#8])-[#6:20]1:[#6H:21]:[#6H:22]:[#6:23](:[#6H:30]:[#6H:31]:1)-[#7:24]1-[#6H2:25]-[#6H2:26]-[#8:27]-[#6H2:28]-[#6H2:29]-1.[#6:6](=[#8:7])(-[#8H:14])-[#6:5]1:[#6H:4]:[#6:3](-[#6:2]#[#6H:1]):[#6H:34]:[#6H:33]:[#6H:32]:1>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6:5](-[#6:6](=[#8:7])-[#7:8](-[#6H:9](-[#6H3:10])-[#6H3:11])-[#6H:12](-[#6:13](=[#8:14])-[#7H:15]-[#6:16](-[#6H3:17])(-[#6H3:18])-[#6H3:19])-[#6:20]2:[#6H:21]:[#6H:22]:[#6:23](-[#7:24]3-[#6H2:25]-[#6H2:26]-[#8:27]-[#6H2:28]-[#6H2:29]-3):[#6H:30]:[#6H:31]:2):[#6H:32]:[#6H:33]:[#6H:34]:1,FC(F)(CO)F,0
ac-8-ace_al-20_nc-1_am-8,[#6-:13]#[#7+:15]-[#6:16](-[#6H3:17])(-[#6H3:18])-[#6H3:19].[#7H2]-[#6H](-[#6H3:10])-[#6H3:11].[#6H:12](=[#8])-[#6:20]1:[#6H:21]:[#6H:22]:[#6:23](:[#7:25]:[#6H:26]:1)-[#6H3:24].[#6:6](=[#8:7])(-[#8H:14])-[#6:5]1:[#6H:4]:[#6:3](-[#6:2]#[#6H:1]):[#6H:29]:[#6H:28]:[#6H:27]:1>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6:5](-[#6:6](=[#8:7])-[#7:8](-[#6H:9](-[#6H3:10])-[#6H3:11])-[#6H:12](-[#6:13](=[#8:14])-[#7H:15]-[#6:16](-[#6H3:17])(-[#6H3:18])-[#6H3:19])-[#6:20]2:[#6H:21]:[#6H:22]:[#6:23](-[#6H3:24]):[#7:25]:[#6H:26]:2):[#6H:27]:[#6H:28]:[#6H:29]:1,FC(F)(CO)F,0
ac-13_al-11-ace_nc-1_am-8,[#6-:8]#[#7+:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14].[#7H2]-[#6H](-[#6H3:25])-[#6H3:26].[#6H:7](=[#8])-[#6:6]1:[#6H:5]:[#6H:4]:[#6:3](:[#6H:28]:[#6H:27]:1)-[#6:2]#[#6H:1].[#6:16](=[#8:17])(-[#8H:9])-[#6:18]1:[#6H:19]:[#8:20]:[#6:21](:[#7:23]:1)-[#6H3:22]>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6H:5]:[#6:6](-[#6H:7](-[#6:8](=[#8:9])-[#7H:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14])-[#7:15](-[#6:16](=[#8:17])-[#6:18]2:[#6H:19]:[#8:20]:[#6:21](-[#6H3:22]):[#7:23]:2)-[#6H:24](-[#6H3:25])-[#6H3:26]):[#6H:27]:[#6H:28]:1,FC(F)(CO)F,0
ac-14_al-11-ace_nc-1_am-8,[#6-:8]#[#7+:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14].[#7H2]-[#6H](-[#6H3:25])-[#6H3:26].[#6H:7](=[#8])-[#6:6]1:[#6H:5]:[#6H:4]:[#6:3](:[#6H:28]:[#6H:27]:1)-[#6:2]#[#6H:1].[#6:16](=[#8:17])(-[#8H:9])-[#6:18]1:[#6:19](-[#6H3:20]):[#8:21]:[#6H:22]:[#6H:23]:1>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6H:5]:[#6:6](-[#6H:7](-[#6:8](=[#8:9])-[#7H:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14])-[#7:15](-[#6:16](=[#8:17])-[#6:18]2:[#6:19](-[#6H3:20]):[#8:21]:[#6H:22]:[#6H:23]:2)-[#6H:24](-[#6H3:25])-[#6H3:26]):[#6H:27]:[#6H:28]:1,FC(F)(CO)F,1
ac-15_al-11-ace_nc-1_am-8,[#6-:8]#[#7+:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14].[#7H2]-[#6H](-[#6H3:26])-[#6H3:27].[#6H:7](=[#8])-[#6:6]1:[#6H:5]:[#6H:4]:[#6:3](:[#6H:29]:[#6H:28]:1)-[#6:2]#[#6H:1].[#6:16](=[#8:17])(-[#8H:9])-[#6:18]1:[#6H:19]:[#7H:20]:[#6:21](:[#6H:23]:[#6H:24]:1)=[#8:22]>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6H:5]:[#6:6](-[#6H:7](-[#6:8](=[#8:9])-[#7H:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14])-[#7:15](-[#6:16](=[#8:17])-[#6:18]2:[#6H:19]:[#7H:20]:[#6:21](=[#8:22]):[#6H:23]:[#6H:24]:2)-[#6H:25](-[#6H3:26])-[#6H3:27]):[#6H:28]:[#6H:29]:1,FC(F)(CO)F,1
ac-16_al-11-ace_nc-1_am-8,[#6-:8]#[#7+:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14].[#7H2]-[#6H](-[#6H3:26])-[#6H3:27].[#6H:7](=[#8])-[#6:6]1:[#6H:5]:[#6H:4]:[#6:3](:[#6H:29]:[#6H:28]:1)-[#6:2]#[#6H:1].[#6:16](=[#8:17])(-[#8H:9])-[#6:18]1:[#6H:19]:[#6H:20]:[#6H:21]:[#6:22](:[#7H:24]:1)=[#8:23]>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6H:5]:[#6:6](-[#6H:7](-[#6:8](=[#8:9])-[#7H:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14])-[#7:15](-[#6:16](=[#8:17])-[#6:18]2:[#6H:19]:[#6H:20]:[#6H:21]:[#6:22](=[#8:23]):[#7H:24]:2)-[#6H:25](-[#6H3:26])-[#6H3:27]):[#6H:28]:[#6H:29]:1,FC(F)(CO)F,1
