exp_id,ugi_smiles,precipitate,yield,,,,
ac-7-ace_al-6_nc-1_am-8,C#CCCC(=O)N(C(C)C)C(C(=O)NC(C)(C)C)C(F)(F)F,0,0,,,,
ac-7-ace_al-7_nc-1_am-8,C#CCCC(=O)N(C(C)C)C(C(=O)NC(C)(C)C)C1=CC=C(F)C=C1C,0,0,,,,
ac-7-ace_al-8_nc-1_am-8,C#CCCC(=O)N(C(C)C)C(C(=O)NC(C)(C)C)C1CCC1,0,0,,,,
ac-7-ace_al-12_nc-1_am-8,C#CCCC(=O)N(C(C)C)C(CC1=CC=C(F)C=C1)C(=O)NC(C)(C)C,0,2,,,,
ac-10_al-10-ace_nc-1_am-8,C#CC1=CC=CC=C1C(C(=O)NC(C)(C)C)N(C(=O)[C@@H](C)N(C)C)C(C)C,0,1,,,,
ac-10_al-10-ace_nc-2_am-8,C#CC1=CC=CC=C1C(C(=O)NCC1=CC=CC=C1)N(C(=O)[C@@H](C)N(C)C)C(C)C,0,2,,,,
ac-10_al-11-ace_nc-1_am-8,C#CC1=CC=C(C(C(=O)NC(C)(C)C)N(C(=O)[C@@H](C)N(C)C)C(C)C)C=C1,0,2,,,,
ac-10_al-11-ace_nc-2_am-8,C#CC1=CC=C(C(C(=O)NCC2=CC=CC=C2)N(C(=O)[C@@H](C)N(C)C)C(C)C)C=C1,0,1,,,,
ac-10_al-6_nc-1_am-12-ace,C#CC1=CC=CC=C1N(C(=O)[C@@H](C)N(C)C)C(C(=O)NC(C)(C)C)C(F)(F)F,0,0,,,,
ac-10_al-7_nc-1_am-12-ace,C#CC1=CC=CC=C1N(C(=O)[C@@H](C)N(C)C)C(C(=O)NC(C)(C)C)C1=CC=C(F)C=C1C,0,2,,,,
ac-11_al-12_nc-1_am-12-ace,C#CC1=CC=CC=C1N(C(=O)C1CC(F)(F)C1)C(CC1=CC=C(F)C=C1)C(=O)NC(C)(C)C,0,1,,,,
ac-11_al-13_nc-1_am-12-ace,C#CC1=CC=CC=C1N(C(=O)C1CC(F)(F)C1)C(C(=O)NC(C)(C)C)C1CCOC1,0,1,,,,
ac-8-ace_al-6_nc-1_am-8,C#CC1=CC(C(=O)N(C(C)C)C(C(=O)NC(C)(C)C)C(F)(F)F)=CC=C1,1,0,,,,
ac-8-ace_al-7_nc-1_am-8,C#CC1=CC(C(=O)N(C(C)C)C(C(=O)NC(C)(C)C)C2=CC=C(F)C=C2C)=CC=C1,0,1,,,,
ac-8-ace_al-8_nc-1_am-8,C#CC1=CC(C(=O)N(C(C)C)C(C(=O)NC(C)(C)C)C2CCC2)=CC=C1,1,0,,,,
