exp_id,ugi_smiles,precipitate
ac-8-ace_al-6_nc-1_am-8,C#CC1=CC(C(=O)N(C(C)C)C(C(=O)NC(C)(C)C)C(F)(F)F)=CC=C1,0
ac-8-ace_al-15_nc-1_am-8,C#CC1=CC(C(=O)N(C(C)C)C(C(=O)NC(C)(C)C)C2=CC=CC=C2OC(F)(F)F)=CC=C1,1
ac-8-ace_al-16_nc-1_am-8,C#CC1=CC(C(=O)N(C(C)C)C(C(=O)NC(C)(C)C)C2=CC=C(CC)C=C2)=CC=C1,1
ac-8-ace_al-17_nc-1_am-8,C#CC1=CC(C(=O)N(C(C)C)C(C(=O)NC(C)(C)C)C(C)CC)=CC=C1,1
ac-8-ace_al-18_nc-1_am-8,C#CC1=CC(C(=O)N(C(C)C)C(C(=O)NC(C)(C)C)C2=CC=C(N3CCOCC3)C=C2)=CC=C1,0
ac-8-ace_al-20_nc-1_am-8,C#CC1=CC(C(=O)N(C(C)C)C(C(=O)NC(C)(C)C)C2=CC=C(C)N=C2)=CC=C1,0
ac-13_al-11-ace_nc-1_am-8,C#CC1=CC=C(C(C(=O)NC(C)(C)C)N(C(=O)C2=COC(C)=N2)C(C)C)C=C1,0
ac-14_al-11-ace_nc-1_am-8,C#CC1=CC=C(C(C(=O)NC(C)(C)C)N(C(=O)C2=C(C)OC=C2)C(C)C)C=C1,1
ac-15_al-11-ace_nc-1_am-8,C#CC1=CC=C(C(C(=O)NC(C)(C)C)N(C(=O)C2=CNC(=O)C=C2)C(C)C)C=C1,1
ac-16_al-11-ace_nc-1_am-8,C#CC1=CC=C(C(C(=O)NC(C)(C)C)N(C(=O)C2=CC=CC(=O)N2)C(C)C)C=C1,1
ac-17_al-11-ace_nc-1_am-8,C#CC1=CC=C(C(C(=O)NC(C)(C)C)N(C(=O)C2=CN3C=CN=CC3=N2)C(C)C)C=C1,1
ac-18_al-11-ace_nc-1_am-8,C#CC1=CC=C(C(C(=O)NC(C)(C)C)N(C(=O)C2=NC=C(C)N=C2)C(C)C)C=C1,1
ac-8-ace_al-6_nc-1_am-13,C#CC1=CC(C(=O)N(C2=CC=CC(OC(F)(F)F)=C2)C(C(=O)NC(C)(C)C)C(F)(F)F)=CC=C1,0
ac-8-ace_al-15_nc-1_am-13,C#CC1=CC(C(=O)N(C2=CC=CC(OC(F)(F)F)=C2)C(C(=O)NC(C)(C)C)C2=CC=CC=C2OC(F)(F)F)=CC=C1,1
