id,ugi_smiles,precipitate,yield
ac1_al2_nc1_am1,CC#CC(=O)N(C1=NNC(C2CC2)=C1)C(C(=O)NC(C)(C)C)C1=CC=C(OC(F)(F)F)C=C1,0,1
ac1_al2_nc1_am2,CC#CC(=O)N(C(C(=O)NC(C)(C)C)C1=CC=C(OC(F)(F)F)C=C1)[C@H]1C=C[C@@H](CO)C1,0,2
ac1_al2_nc1_am3,CC#CC(=O)N(C1=CC=C(CC2=CC=CC=C2)C=C1)C(C(=O)NC(C)(C)C)C1=CC=C(OC(F)(F)F)C=C1,1,2
ac5_al4_nc1_am4,C=CC(=O)NC(C(=O)NC(C)(C)C)C1CC2C=CC1C2,1,2
ac5_al4_nc1_am5,C=CC(=O)N(CC1=CC2=C(C=CC=C2)N1)C(C(=O)NC(C)(C)C)C1CC2C=CC1C2,1,2
ac5_al4_nc1_am6,C=CC(=O)N(CC1=C(Cl)C=C(F)C=C1)C(C(=O)NC(C)(C)C)C1CC2C=CC1C2,1,2
ac1_al2_nc2_am1,CC#CC(=O)N(C1=NNC(C2CC2)=C1)C(C(=O)NCC1=CC=CC=C1)C1=CC=C(OC(F)(F)F)C=C1,0,0
ac1_al2_nc2_am2,CC#CC(=O)N(C(C(=O)NCC1=CC=CC=C1)C1=CC=C(OC(F)(F)F)C=C1)[C@H]1C=C[C@@H](CO)C1,0,0
ac1_al2_nc2_am3,CC#CC(=O)N(C1=CC=C(CC2=CC=CC=C2)C=C1)C(C(=O)NCC1=CC=CC=C1)C1=CC=C(OC(F)(F)F)C=C1,1,2
ac5_al4_nc2_am4,C=CC(=O)NC(C(=O)NCC1=CC=CC=C1)C1CC2C=CC1C2,0,2
ac5_al4_nc2_am5,C=CC(=O)N(CC1=CC2=C(C=CC=C2)N1)C(C(=O)NCC1=CC=CC=C1)C1CC2C=CC1C2,0,0
ac5_al4_nc2_am6,C=CC(=O)N(CC1=C(Cl)C=C(F)C=C1)C(C(=O)NCC1=CC=CC=C1)C1CC2C=CC1C2,1,2
ac1_al3_nc1_am1,CC#CC(=O)N(C1=NNC(C2CC2)=C1)C(C(=O)NC(C)(C)C)C1CCC(C)=CC1C,0,2
ac1_al3_nc1_am2,CC#CC(=O)N(C(C(=O)NC(C)(C)C)C1CCC(C)=CC1C)[C@H]1C=C[C@@H](CO)C1,0,0
ac1_al3_nc1_am3,CC#CC(=O)N(C1=CC=C(CC2=CC=CC=C2)C=C1)C(C(=O)NC(C)(C)C)C1CCC(C)=CC1C,1,2
ac5_al5_nc1_am4,C=CC(=O)NC(C(=O)NC(C)(C)C)C1=CC=C(OC2CCCCO2)C=C1,0,2
ac5_al5_nc1_am5,C=CC(=O)N(CC1=CC2=C(C=CC=C2)N1)C(C(=O)NC(C)(C)C)C1=CC=C(OC2CCCCO2)C=C1,0,2
ac5_al5_nc1_am6,C=CC(=O)N(CC1=C(Cl)C=C(F)C=C1)C(C(=O)NC(C)(C)C)C1=CC=C(OC2CCCCO2)C=C1,1,2
ac1_al3_nc2_am1,CC#CC(=O)N(C1=NNC(C2CC2)=C1)C(C(=O)NCC1=CC=CC=C1)C1CCC(C)=CC1C,0,0
ac1_al3_nc2_am2,CC#CC(=O)N(C(C(=O)NCC1=CC=CC=C1)C1CCC(C)=CC1C)[C@H]1C=C[C@@H](CO)C1,0,1
ac1_al3_nc2_am3,CC#CC(=O)N(C1=CC=C(CC2=CC=CC=C2)C=C1)C(C(=O)NCC1=CC=CC=C1)C1CCC(C)=CC1C,0,0
ac5_al5_nc2_am4,C=CC(=O)NC(C(=O)NCC1=CC=CC=C1)C1=CC=C(OC2CCCCO2)C=C1,1,2
ac5_al5_nc2_am5,C=CC(=O)N(CC1=CC2=C(C=CC=C2)N1)C(C(=O)NCC1=CC=CC=C1)C1=CC=C(OC2CCCCO2)C=C1,0,0
ac5_al5_nc2_am6,C=CC(=O)N(CC1=C(Cl)C=C(F)C=C1)C(C(=O)NCC1=CC=CC=C1)C1=CC=C(OC2CCCCO2)C=C1,1,2
ac3_al2_nc1_am1,CC(C)(C)NC(=O)C(C1=CC=C(OC(F)(F)F)C=C1)N(C(=O)[C@H]1CO1)C1=NNC(C2CC2)=C1,0,0
ac3_al2_nc1_am2,CC(C)(C)NC(=O)C(C1=CC=C(OC(F)(F)F)C=C1)N(C(=O)[C@H]1CO1)[C@H]1C=C[C@@H](CO)C1,1,2
ac3_al2_nc1_am3,CC(C)(C)NC(=O)C(C1=CC=C(OC(F)(F)F)C=C1)N(C(=O)[C@H]1CO1)C1=CC=C(CC2=CC=CC=C2)C=C1,0,0
